"text_of_1month","datums","datums2"
" Suzanne heeft problemen omdat ze steeds geconfronteerd wordt met haar verleden. Rien zegt zijn vader de waarheid. Laura probeert Arnie via Peter te beïnvloeden. ","Vrijdag 21 december 1990"," 21 12 1990"
" Laura is wanhopig als blijkt dat Arnie vastbesloten is het kind te houden en zelf op te voeden. Rien wekt verbazing alom. Jan is erg enthousiast over de zweefvliegbaan.","Maandag 24 december 1990"," 24 12 1990"
" Rien en Simon bezoeken Linda, die bij Petra is gaan logeren. Arnie vraagt Helen om raad en hulp. Helen krijgt een telefoontje van Annette. Suzanne doet verwoede pogingen een baan te vinden. ","Dinsdag 25 december 1990"," 25 12 1990"
" Simon heeft Linda iets verschrikkelijks te vertellen. Linda's ongeluk raakt Arnie en hij vlucht de stad uit. ","Woensdag 26 december 1990"," 26 12 1990"
" Arnie helpt een gewonde man en wordt liefdevol door zijn vrouw in huis opgenomen. Hij is verbaasd over hun houding. ","Donderdag 27 december 1990"," 27 12 1990"
" Arnie besluit een paar dagen bij de familie Dalstra te blijven en maakt kennis met hun geheimzinnige dochter Terri. Simon maakt zich zorgen over Linda. Annette trekt met haar vader weer in hun oude flat. David is woedend op Helen.","Vrijdag 28 december 1990"," 28 12 1990"
" Rien is blij als hij Daniël's plaats kan innemen. Peter gaat op zoek naar de echte eigenaar van de coffeeshop en doet een wonderbaarlijke ontdekking. David biedt Helen zijn excuses aan. ","Maandag 31 december 1990"," 31 12 1990"
" Nico doet erg geheimzinnig. Appie is jaloers op Arnie en daagt hem uit. Peter en Suzanne hebben moeilijkheden in hun relatie. ","Dinsdag 1 januari 1991"," 1 1 1991"
" Peter voelt zich aangeslagen. Simon biedt Annette een baan aan. Frank moedigt Arnie aan meer met Terri om te gaan. Daniël en Suzanne voeren iets in hun schild. Nico komt met verrassend nieuws. Annette doet een schokkende ontdekking. ","Woensdag 2 januari 1991"," 2 1 1991"
" Helens gezondheidstoestand is kritiek. De band tussen de familie Dalstra en Arnie wordt hechter. Linda gaat helemaal op in haar baan als model.","Donderdag 3 januari 1991"," 3 1 1991"
